Subject,URL,year,month
Release:  Adult and Youth Arrested in Stolen Vehicle Incident,https://reginapolice.ca/2017/08/adult-and-youth-arrested-in-stolen-vehicle-incident/,2017,8
"Release:  Four Arrested, Five Searches, Drugs & Firearms Seized",https://reginapolice.ca/2017/08/four-arrested-five-arrested-drugs-firearms-seized/,2017,8
Release:  Notice of Upcoming Community Perceptions Survey,https://reginapolice.ca/2017/08/notice-of-upcoming-community-perceptions-survey/,2017,8
Release:  Regina Male Facing Drug Charges,https://reginapolice.ca/2017/08/regina-male-facing-drug-charges-2/,2017,8
Release:  Take Me Down to the Paradise City *Safely*,https://reginapolice.ca/2017/08/take-me-down-to-the-paradise-city-safely/,2017,8
Release:  A Labour of Love!,https://reginapolice.ca/2017/09/a-labour-of-love/,2017,9
"Release:  Advisory to Public: Special Teams Training, September 14th",https://reginapolice.ca/2017/09/advisory-to-public-special-teams-training-september-14th/,2017,9
Release:  Advisory: CEW Discharge,https://reginapolice.ca/2017/09/advisory-cew-discharge-14/,2017,9
Release:  Arrest and Charges in Stolen Auto Cases – CEW Deployment,https://reginapolice.ca/2017/09/arrest-and-charges-in-stolen-auto-cases/,2017,9
Release:  Arrest On Warrant,https://reginapolice.ca/2017/09/arrest-on-warrant-3/,2017,9
"Release:  CFSEU Investigation: Drugs & Cash Seized, Two Charged",https://reginapolice.ca/2017/09/cfseu-investigation-drugs-cash-seized-two-charged/,2017,9
Release:  Conclusion of Investigation into July 26th Alleged Assault,https://reginapolice.ca/2017/09/conclusion-of-investigation-into-july-26th-alleged-assault/,2017,9
Release:  Death Confirmed Homicide – Male Charged 2nd Degree Murder,https://reginapolice.ca/2017/09/death-confirmed-homicide-male-charged-2nd-degree-murder/,2017,9
Release:  Death Investigation Underway,https://reginapolice.ca/2017/09/death-investigation-underway-2/,2017,9
Release:  Emergency Services Teams Used in Enforcement Action,https://reginapolice.ca/2017/09/emergency-services-teams-used-in-enforcement-action/,2017,9
Release:  Evade Leads to Drug and Weapon Charges,https://reginapolice.ca/2017/09/evade-leads-to-drug-and-weapon-charges/,2017,9
Release:  Firearm Discharge,https://reginapolice.ca/2017/09/firearm-discharge/,2017,9
