Subject,Day,Year,time,url_slug
Release:     SACP Thanks MMIWG National Inquiry,June 3,2019,10:16 AM,/news/2019383
Release:   Assault - 400 Block Of Bowman Cres,February 9,2019,10:12 AM,/news/201997
Release:   Update - Male Injured - 600 Block 33rd Street West,February 25,2020,9:52 AM,/news/2020124
Release:   UPDATE: Suspicious Activity,May 4,2018,9:24 AM,/news/2018321
Release:  #GetMyBikeBack Bike Registry,April 30,2018,11:07 AM,/news/2018299
Release:  1.5 Kilograms Of Methamphetamine Seized In Joint Investigation By SPS Drug Unit And Guns And Gangs Unit,September 10,2021,11:40 AM,/news/2021493
Release:  17 Year Old Male Charged With First Degree Murder,December 12,2019,11:10 PM,/news/2019938
Release:  17 Year Old Man Shot In Leg - 800 Block Appleby Drive,May 19,2018,3:44 AM,/news/2018369
Release:  17 Year Old Saskatoon Youth Facing Charges Following Single Vehicle Collision,February 4,2018,3:40 AM,/news/201867
Release:  18 Tickets Issued At Weekend Rally,May 10,2021,10:56 AM,/news/2021255
Release:  19 Year Old Female - Victim Of Homicide,April 13,2020,10:52 AM,/news/2020242
Release:  2 Arrested/Property Seized - Guns And Gangs Investigation,October 28,2019,1:25 PM,/news/2019791
Release:  2 Vehicle Collision - 200 Block Of Laurier Drive,October 17,2019,1:10 AM,/news/2019738
Release:  2 Vehicle Collision - 33 St And Confederation Dr,April 11,2020,9:44 PM,/news/2020239
Release:  2 Vehicle Collision - Attridge Drive And Lowe Road,April 11,2018,6:49 AM,/news/2018234
Release:  2 Vehicle Collision - Attridge Drive And Lowe Road,April 11,2018,8:26 AM,/news/2018235
Release:  2 Vehicle Collision - Broadway Bridge - Southbound Lanes,June 16,2019,3:09 PM,/news/2019429
Release:  2 Vehicle Collision - Broadway Bridge - Southbound Lanes,June 16,2019,3:47 PM,/news/2019430
Release:  2 Vehicle Collision - Broadway Bridge - Southbound Lanes,June 16,2019,4:28 PM,/news/2019431
Release:  2 Vehicle Collision - Circle Dr Near Lorne Av,January 23,2020,5:08 PM,/news/202047
Release:  2 Vehicle Collision - Circle Dr Near Lorne Av,January 23,2020,5:32 PM,/news/202048
Release:  2 Vehicle Collision - Hwy 16 East Of Marquis Dr,October 2,2019,7:21 PM,/news/2019705
Release:  2 Vehicle Collision - Hwy 16 East Of Marquis Dr,October 2,2019,7:56 PM,/news/2019706
Release:  200 Block 21 Street East - Injured Male,June 5,2021,12:25 AM,/news/2021306
Release:  2019 Rotary Badge Shield Star Award Recipients Announced,April 17,2019,11:30 AM,/news/2019274
Release:  22 Year Old Charged - Impaired Driving Causing Death And Fail To Remain,June 6,2020,4:10 PM,/news/2020383
Release:  27 Year Old Male In Custody After Evading Police In A Stolen Auto,April 30,2019,9:56 PM,/news/2019309
Release:  27 Year Old Male Injured - Homicide Investigation,September 28,2019,9:27 AM,/news/2019692
Release:  28 Year Old Male Charged With Second Degree Murder,August 5,2020,12:10 PM,/news/2020538
Release:  28 Year Old Male In Custody After Fleeing From Bike Officers,April 19,2019,10:49 AM,/news/2019284
Release:  3 Adults Charged With Second Degree Murder,July 12,2020,12:12 PM,/news/2020475
Release:  3 Search Warrants Executed,February 1,2020,1:03 AM,/news/202065
Release:  35 Year Old Male - Victim Of Saskatoon's Latest Homicide,December 7,2019,12:52 PM,/news/2019914
Release:  38 Year Old Male In Custody After Evading Police,May 5,2019,4:19 PM,/news/2019320
