"Geography","Reference period","Crime severity index","Violent crime severity index","Non-violent crime severity index","Youth crime severity index","Youth violent crime severity index","Youth non-violent crime severity index","Weighted clearance rate","Violent weighted clearance rate","Non-violent weighted clearance rate"
"",,"Index",,,,,,"Number",,
"Canada","2011","77.61","85.72","74.50","81.72","87.47","77.29","40.34","60.99","31.69"
"Canada","2012","75.51","81.95","73.01","77.42","82.34","73.59","40.59","62.32","31.71"
"Canada","2013","68.92","74.02","66.92","66.16","71.23","62.27","41.00","63.12","32.10"
"Canada","2014","66.90","70.71","65.38","60.62","64.84","57.37","40.47","64.14","31.16"
"Canada","2015","70.39","75.34","68.44","60.42","66.39","55.93","39.35","62.72","29.99"
"Canada","2016","72.01","76.88","70.10","59.89","70.93","51.80","39.55","63.48","30.12"
"Canada","2017","73.60","81.27","70.66","62.68","80.51","49.93","39.88","63.68","30.04"
"Canada","2018","75.61","83.55","72.58","56.58","77.04","42.10","38.65","61.52","29.19"
"Canada","2019","79.77","90.30","75.80","55.11","79.84","37.73","37.02","58.23","27.93"
"Canada","2020","73.44","87.03","68.38","42.32","65.66","26.00","37.08","58.35","27.35"
"Halifax, Nova Scotia","2011","88.61","115.35","78.70","..","..","..","38.18","50.82","31.44"
,"2012","75.95","94.39","69.08","..","..","..","40.21","56.46","32.13"
,"2013","69.05","85.06","63.08","..","..","..","41.14","56.35","33.67"
,"2014","66.81","75.13","63.65","..","..","..","37.75","56.59","29.66"
,"2015","65.06","83.59","58.18","..","..","..","39.40","57.45","29.97"
,"2016","63.32","81.95","56.47","..","..","..","36.47","51.60","28.57"
,"2017","66.00","88.84","57.63","..","..","..","35.07","47.36","28.26"
,"2018","67.47","96.63","56.82","..","..","..","36.62","45.49","31.20"
,"2019","60.91","84.16","52.40","..","..","..","34.72","46.00","28.20"
,"2020","61.88","83.83","53.84","..","..","..","33.01","52.44","22.12"
"Saint John, New Brunswick","2011","69.07","76.47","66.23","..","..","..","46.69","64.94","39.02"
,"2012","66.76","67.46","66.37","..","..","..","48.40","70.04","40.40"
,"2013","60.83","55.82","62.53","..","..","..","51.51","78.48","42.74"
,"2014","55.47","61.21","53.27","..","..","..","54.45","72.98","46.70"
,"2015","55.66","65.43","51.98","..","..","..","51.08","68.17","43.25"
,"2016","54.91","74.46","47.75","..","..","..","55.10","71.97","45.64"
,"2017","56.71","73.24","50.63","..","..","..","58.52","79.63","47.54"
,"2018","56.97","70.72","51.89","..","..","..","53.98","66.34","47.92"
,"2019","56.98","75.02","50.35","..","..","..","53.03","71.82","42.96"
,"2020","49.33","67.29","42.76","..","..","..","51.67","69.36","41.65"
"Québec, Quebec","2011","52.77","48.90","54.06","..","..","..","39.97","71.56","29.57"
,"2012","51.59","52.11","51.30","..","..","..","39.13","70.11","27.68"
,"2013","46.50","47.77","45.94","..","..","..","37.33","62.34","27.87"
,"2014","44.95","47.36","43.98","..","..","..","36.45","61.80","26.51"
,"2015","42.19","44.24","41.36","..","..","..","35.78","59.04","26.73"
,"2016","45.13","51.83","42.62","..","..","..","39.95","63.32","29.73"
,"2017","48.23","63.85","42.50","..","..","..","46.03","68.28","34.00"
,"2018","44.11","53.42","40.66","..","..","..","42.59","64.40","32.28"
,"2019","43.74","57.23","38.78","..","..","..","42.61","62.20","32.21"
,"2020","42.09","56.84","36.68","..","..","..","40.75","62.15","28.82"
"Montréal, Quebec","2011","79.85","98.07","73.05","..","..","..","31.46","51.20","21.82"
,"2012","75.10","88.78","69.97","..","..","..","33.77","54.68","24.12"
,"2013","66.62","80.13","61.56","..","..","..","34.72","55.95","24.66"
,"2014","60.87","73.28","56.22","..","..","..","36.76","61.31","25.11"
,"2015","61.47","77.44","55.53","..","..","..","36.57","60.03","24.66"
,"2016","58.70","72.28","53.67","..","..","..","36.55","61.58","24.42"
,"2017","59.05","74.41","53.39","..","..","..","38.43","64.14","25.54"
,"2018","58.21","71.92","53.14","..","..","..","36.28","61.60","23.96"
,"2019","57.73","76.00","51.02","..","..","..","37.40","60.49","25.03"
,"2020","52.74","73.22","45.25","..","..","..","37.30","60.39","23.87"
"Ottawa-Gatineau, Ontario/Quebec","2011","59.40","63.94","57.62","..","..","..","41.29","58.94","34.17"
,"2012","59.96","61.46","59.29","..","..","..","41.39","65.29","32.37"
,"2013","51.16","58.62","48.34","..","..","..","42.36","59.24","34.91"
,"2014","47.88","52.16","46.22","..","..","..","41.77","60.67","34.01"
,"2015","48.52","54.74","46.16","..","..","..","41.41","60.44","33.19"
,"2016","52.24","63.12","48.20","..","..","..","40.62","58.85","32.03"
,"2017","52.48","65.47","47.69","..","..","..","40.66","59.51","31.36"
,"2018","55.01","69.77","49.57","..","..","..","39.08","57.10","29.96"
,"2019","56.93","69.87","52.14","..","..","..","38.51","54.77","30.67"
,"2020","49.05","60.03","44.98","..","..","..","37.56","56.23","28.59"
"Toronto, Ontario","2011","56.07","83.67","45.90","..","..","..","40.01","52.49","31.72"
,"2012","52.74","79.14","43.02","..","..","..","41.41","53.52","33.30"
,"2013","47.12","67.99","39.42","..","..","..","42.35","54.92","34.46"
,"2014","45.07","63.80","38.17","..","..","..","41.82","53.95","34.44"
,"2015","46.16","65.70","38.96","..","..","..","41.94","55.07","33.89"
,"2016","47.88","70.64","39.58","..","..","..","41.56","54.81","33.06"
,"2017","49.79","73.35","41.20","..","..","..","41.05","54.63","32.36"
,"2018","53.77","78.98","44.58","..","..","..","39.38","55.27","29.26"
,"2019","54.15","77.91","45.48","..","..","..","37.71","53.70","27.87"
,"2020","46.20","66.14","38.92","..","..","..","38.19","55.75","27.46"
"Hamilton, Ontario","2011","64.91","74.89","61.14","..","..","..","35.25","55.25","26.34"
,"2012","61.12","62.87","60.35","..","..","..","35.61","55.96","27.89"
,"2013","55.53","60.49","53.61","..","..","..","34.47","56.66","25.35"
,"2014","51.47","56.37","49.58","..","..","..","35.85","55.32","27.79"
,"2015","51.39","55.70","49.71","..","..","..","36.79","55.44","29.18"
,"2016","54.29","66.73","49.69","..","..","..","38.13","57.06","28.99"
,"2017","60.22","76.95","54.06","..","..","..","37.36","50.70","30.54"
,"2018","58.25","67.44","54.81","..","..","..","36.58","53.04","29.29"
,"2019","60.13","73.94","55.02","..","..","..","39.46","57.63","30.67"
,"2020","55.49","76.79","47.70","..","..","..","40.56","54.27","32.62"
"Windsor, Ontario","2011","62.85","59.82","63.82","..","..","..","40.01","65.58","31.28"
,"2012","66.96","67.15","66.76","..","..","..","40.79","66.47","31.39"
,"2013","60.69","61.28","60.34","..","..","..","38.78","60.76","30.66"
,"2014","56.85","56.55","56.84","..","..","..","39.87","68.38","29.55"
,"2015","61.79","65.53","60.30","..","..","..","42.23","69.93","31.28"
,"2016","66.02","56.80","69.18","..","..","..","34.50","70.34","23.91"
,"2017","70.41","63.50","72.73","..","..","..","35.57","70.04","24.74"
,"2018","86.99","76.14","90.68","..","..","..","33.43","71.62","21.89"
,"2019","82.67","71.53","86.49","..","..","..","35.41","73.44","24.10"
,"2020","83.25","82.21","83.43","..","..","..","33.73","70.00","20.88"
"Winnipeg, Manitoba","2011","103.58","163.27","81.65","..","..","..","36.21","51.81","24.86"
,"2012","98.41","148.80","79.87","..","..","..","36.22","51.10","26.14"
,"2013","84.13","121.69","70.29","..","..","..","38.98","56.23","28.12"
,"2014","81.58","117.16","68.46","..","..","..","39.99","56.17","29.91"
,"2015","90.35","125.98","77.20","..","..","..","38.19","56.54","27.29"
,"2016","103.45","145.38","88.13","..","..","..","36.30","54.26","25.64"
,"2017","108.61","155.32","91.55","..","..","..","36.71","52.39","27.14"
,"2018","119.88","162.49","104.27","..","..","..","32.95","48.98","23.96"
,"2019","132.10","174.92","116.39","..","..","..","32.61","50.01","23.21"
,"2020","116.29","154.81","102.16","..","..","..","35.01","51.23","26.16"
"Regina, Saskatchewan","2011","124.19","121.45","124.93","..","..","..","43.16","63.90","35.82"
,"2012","117.39","110.66","119.60","..","..","..","40.42","60.30","33.73"
,"2013","106.12","108.23","105.13","..","..","..","44.80","68.16","36.05"
,"2014","103.30","103.63","102.97","..","..","..","40.34","57.82","33.94"
,"2015","110.01","108.87","110.20","..","..","..","42.26","64.17","34.38"
,"2016","126.07","127.32","125.32","..","..","..","39.57","55.87","33.61"
,"2017","114.94","111.63","115.86","..","..","..","42.25","65.80","34.09"
,"2018","128.27","122.69","129.97","..","..","..","37.79","59.16","30.53"
,"2019","131.48","134.33","130.14","..","..","..","39.23","60.59","31.30"
,"2020","104.82","126.97","96.61","..","..","..","42.90","62.50","33.63"
"Saskatoon, Saskatchewan","2011","114.84","130.48","108.91","..","..","..","37.07","43.43","34.30"
,"2012","107.72","127.09","100.45","..","..","..","39.42","45.94","36.42"
,"2013","100.84","111.79","96.65","..","..","..","38.01","46.89","34.27"
,"2014","111.67","124.08","106.92","..","..","..","36.85","48.99","31.72"
,"2015","114.78","115.32","114.34","..","..","..","37.00","52.00","31.49"
,"2016","118.73","112.64","120.63","..","..","..","36.98","48.55","33.09"
,"2017","117.83","111.37","119.88","..","..","..","35.89","40.81","34.24"
,"2018","117.94","109.18","120.81","..","..","..","34.39","46.31","30.51"
,"2019","118.05","137.05","110.93","..","..","..","35.64","49.05","29.68"
,"2020","105.70","119.88","100.35","..","..","..","36.17","48.11","31.04"
"Calgary, Alberta","2011","65.37","70.08","63.52","..","..","..","36.09","52.23","29.62"
,"2012","61.28","61.83","60.95","..","..","..","35.67","54.28","28.80"
,"2013","61.28","62.99","60.53","..","..","..","34.40","52.67","27.47"
,"2014","61.06","64.46","59.70","..","..","..","33.58","50.56","26.91"
,"2015","79.77","73.52","81.87","..","..","..","28.04","49.24","21.11"
,"2016","78.35","64.82","83.03","..","..","..","28.43","51.10","22.07"
,"2017","83.65","76.05","86.19","..","..","..","26.60","46.95","20.14"
,"2018","89.35","80.38","92.36","..","..","..","26.40","42.52","21.35"
,"2019","93.53","85.28","96.28","..","..","..","27.20","43.60","21.97"
,"2020","77.98","76.49","78.34","..","..","..","28.16","45.67","22.02"
"Edmonton, Alberta","2011","87.05","104.71","80.45","..","..","..","42.28","54.88","36.31"
,"2012","84.68","96.09","80.35","..","..","..","41.79","54.38","36.32"
,"2013","85.86","91.54","83.62","..","..","..","41.71","56.57","35.79"
,"2014","88.48","94.80","86.00","..","..","..","42.70","58.96","36.18"
,"2015","103.42","105.95","102.29","..","..","..","39.60","55.27","33.69"
,"2016","107.37","102.95","108.70","..","..","..","39.91","53.98","35.11"
,"2017","113.66","108.22","115.35","..","..","..","40.01","56.91","34.31"
,"2018","116.52","109.00","118.96","..","..","..","38.35","54.49","33.03"
,"2019","115.76","110.37","117.43","..","..","..","35.29","50.62","30.11"
,"2020","104.78","110.58","102.44","..","..","..","35.39","52.54","28.73"
"Kelowna, British Columbia","2011","98.34","86.57","102.41","..","..","..","34.12","52.40","28.50"
,"2012","104.61","85.65","111.29","..","..","..","29.89","58.61","21.84"
,"2013","87.63","63.27","96.31","..","..","..","32.42","53.06","27.48"
,"2014","88.60","59.30","99.08","..","..","..","32.72","60.74","26.62"
,"2015","98.60","72.12","108.03","..","..","..","30.88","52.61","25.60"
,"2016","98.34","63.20","110.74","..","..","..","34.39","64.06","28.31"
,"2017","95.22","59.52","107.83","..","..","..","31.64","55.53","26.90"
,"2018","100.83","49.78","118.95","..","..","..","31.73","59.76","27.51"
,"2019","121.24","83.21","134.64","..","..","..","26.14","44.05","22.15"
,"2020","111.90","94.92","117.74","..","..","..","25.87","36.81","22.70"
"Abbotsford-Mission, British Columbia","2011","90.33","75.04","95.71","..","..","..","28.66","49.47","22.73"
,"2012","84.60","81.05","85.72","..","..","..","26.82","42.15","21.55"
,"2013","79.74","69.27","83.38","..","..","..","28.41","51.47","21.44"
,"2014","84.45","79.46","86.09","..","..","..","27.47","53.32","18.78"
,"2015","95.96","89.36","98.16","..","..","..","24.78","49.80","16.50"
,"2016","89.93","81.14","92.87","..","..","..","25.88","49.76","18.38"
,"2017","88.01","86.64","88.29","..","..","..","26.33","52.80","17.00"
,"2018","89.43","80.15","92.55","..","..","..","24.60","43.05","18.85"
,"2019","86.39","78.09","89.18","..","..","..","23.54","40.82","18.09"
,"2020","77.23","86.39","73.75","..","..","..","25.48","40.82","19.01"
"Vancouver, British Columbia","2011","95.79","97.55","94.96","..","..","..","25.39","40.31","19.81"
,"2012","94.44","94.34","94.28","..","..","..","24.53","41.22","18.46"
,"2013","89.12","81.87","91.58","..","..","..","25.27","43.75","19.25"
,"2014","94.27","77.57","100.15","..","..","..","22.24","44.23","16.05"
,"2015","94.33","83.83","97.96","..","..","..","21.69","41.20","15.62"
,"2016","92.83","71.08","100.43","..","..","..","22.06","42.37","16.89"
,"2017","86.77","69.59","92.75","..","..","..","23.38","45.85","17.31"
,"2018","85.65","69.18","91.37","..","..","..","22.55","43.52","16.84"
,"2019","95.52","80.87","100.56","..","..","..","22.39","41.37","16.89"
,"2020","88.62","76.85","92.65","..","..","..","21.93","41.75","16.01"
"Victoria, British Columbia","2011","72.89","72.99","72.70","..","..","..","39.17","61.82","30.89"
,"2012","70.28","64.67","72.17","..","..","..","35.31","57.51","28.08"
,"2013","57.81","53.32","59.32","..","..","..","36.13","54.01","30.28"
,"2014","60.92","57.01","62.21","..","..","..","36.93","59.21","29.50"
,"2015","70.21","67.10","71.20","..","..","..","30.70","49.55","24.24"
,"2016","62.09","55.90","64.17","..","..","..","32.28","55.93","24.87"
,"2017","60.49","63.18","59.38","..","..","..","32.33","53.92","24.06"
,"2018","63.85","61.41","64.58","..","..","..","28.90","50.57","21.49"
,"2019","73.91","64.82","77.00","..","..","..","25.90","48.39","19.10"
,"2020","75.82","74.31","76.18","..","..","..","24.75","42.80","18.42"


