"https://winnipeg.ca/police/press/2021/01jan/2021_01_31.stm"|"January 31, 2021"|"Break & Enters Arrest: C20-299084"|"Stabbing Investigation: C21-23504"|"Stabbing Investigation: C21-24069"|"Stabbing Investigation: C21-24236"|"Suspicious Death Investigation: C21-24453"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_29.stm"|"January 29, 2021"|"Homicide Public Assistance Requested: C21-22243"|"Homicide Investigation: C21-22243"|"Drug Offence Arrests: C21-22646"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_28.stm"|"January 28, 2021"|"Statement from Chief Danny Smyth Regarding the Eishia Hudson Investigation"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_27.stm"|"January 27, 2021"|"Weapons Arrest: C21-20159"|"Break & Enter and Weapons Arrest: C21-20568"|"Weapons Arrest: C21-20596"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_26.stm"|"January 26, 2021"|"Firearms Seizure Arrest: C21-19274"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_25.stm"|"January 25, 2021"|"Homicide Arrest Update: C20-171330"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_22.stm"|"January 22, 2021"|"Off-Duty WPS Officer Arrested for Impaired Driving: C21-14558"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_20.stm"|"January 20, 2021"|"Aggravated Assault Arrest: C21-14370"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_19.stm"|"January 19, 2021"|"Homicide Public Assistance Requested: C20-242271"|"Shooting Investigation: C21-14102"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_18.stm"|"January 18, 2021"|"Drug Seizure Arrest: C21-11466"|"Firearm and Drug Seizure Arrest: C21-12952"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_14.stm"|"January 14, 2021"|"Drug Seizure Arrest: C21-8149"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_13.stm"|"January 13, 2021"|"Canine Memorial Fundraising Campaign"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_11.stm"|"January 11, 2021"|"Assault Arrest: C21-6512"|"Break & Enter Arrest: C21-7401"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_08.stm"|"January 8, 2021"|"Community Notification"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_07.stm"|"January 7, 2021"|"Homicide Arrest: C20-306095"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_06.stm"|"January 6, 2021"|"Stolen Vehicle Arrest: C21-3229"
"https://winnipeg.ca/police/press/2021/01jan/2021_01_02.stm"|"January 2, 2021"|"Homicide Public Assistance Requested: C20-306095"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_28.stm"|"February 28, 2021"|"Warrant/Weapons Incident Arrests: C21-45631"|"Homicide Public Assistance Requested: C20-242271"|"Robbery Arrests: C21-45419"|"Aggravated Assault Arrest: C21-45537"|"Assault with a Weapon Arrest: C21-44666"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_26.stm"|"February 26, 2021"|"Assault with a Weapon Arrest: C21-44666"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_25.stm"|"February 24, 2021"|"Assistance Crisis Intervention: C21-42518"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_24.stm"|"February 24, 2021"|"PROJECT GOLD DUST Inter-Provincial Illicit Drug Network Dismantled"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_23.stm"|"February 22, 2021"|"Assault with a Weapon Investigation: C21-41994"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_22.stm"|"February 22, 2021"|"Firearm / Drugs Arrest: C21-39162"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_19.stm"|"February 19, 2021"|"Weapon Arrest: C21-38553"|"Shooting Arrest R21-7023:"|"Serious Motor Vehicle Collision Investigation: C21-38691"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_18.stm"|"February 18, 2021"|"Serious Motor Vehicle Collision Investigation: C21-37881"|"Thefts / Possession of Property Arrests: R20-23467"|"Robbery Arrest: C21-38021"|"Assault with a Weapon Arrest: C21-37241"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_17.stm"|"February 17, 2021"|"Theft from Motor Vehicle Arrest: C21-37198"|"Break and Enter / Fraud Use of Credit Card Arrest C21-32951"|"Weapons Arrest: C21-36983"|"Robbery/Carjacking Arrest: C21-36288"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_16.stm"|"February 16, 2021"|"Drugs & Firearm Offences Arrests: C21-35517"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_12.stm"|"February 12, 2021"|"Homicide Update Arrest: C20-173625"|"Stolen Vehicle Arrest: C21-33619"|"Police Pursuit Arrest: C21-33796"|"Disarming a Peace Officer/ Resist Arrest: C21-33719"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_11.stm"|"February 11, 2021"|"Assault with a Weapon Arrest: C21-32728"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_10.stm"|"February 10, 2021"|"Homicide Public Assistance Requested: C20-242271"|"Fraud/Scam Public Advisory"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_09.stm"|"February 9, 2021"|"Commercial Robbery Arrests: C21-31266"|"Carjacking Arrest: C20-85117"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_08.stm"|"February 8, 2021"|"Homicide Arrest: C20-88966"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_05.stm"|"February 5, 2021"|"Weapons Arrest: C21-27916"|"Armed and Barricaded   Crisis Intervention: C21-27488"|"Cold Weather Auto -Theft Prevention:"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_04.stm"|"January 4, 2021"|"Thefts of Catalytic Converters - Arrests: C21-24264"
"https://winnipeg.ca/police/press/2021/02feb/2021_02_02.stm"|"January 2, 2021"|"Homicide Arrest: C21-22243"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_31.stm"|"March 31, 2021"|"Robbery Arrests: C21-69085"|"Drugs Arrests: C21-67305"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_30.stm"|"March 30, 2021"|"Firearms/Drugs Arrest: C21-69325"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_29.stm"|"March 29, 2021"|"Child Sexual Abuse Imagery Arrest: R20-31798"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_28.stm"|"March 28, 2021"|"Weapons Arrest: C21-68502"|"Assault with a Weapon Investigation: C21-68690"|"Wanted Male Public Assistance Requested: R21-10166"|"Crisis Incident: C21-68429"|"Numerous Thefts Arrest: E21-1725"|"Break & Enter and Weapons Arrests: C21-68936"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_25.stm"|"March 25, 2021"|"Homicide Arrest: C18-117917"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_24.stm"|"March 24, 2021"|"Drugs Arrest: C21-61114"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_22.stm"|"March 22, 2021"|"Drugs & Weapons Arrests: C21-62528"|"Drug Trafficking Arrest: C21-57140"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_19.stm"|"March 19, 2021"|"Fraud Arrest: R19-28993"|"Weapons Arrest: C21-61071"|"Motor Vehicle Collision Investigation C21-61242"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_18.stm"|"March 18, 2021"|"Homicide Arrest: C21-56188"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_16.stm"|"March 16, 2021"|"Homicide Public Assistance Requested: C21-56188"|"Hit and Run Request for Public Assistance: C21-58269"|"Theft Under Arrest: R20-68040"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_15.stm"|"March 15, 2021"|"Community Notification"
"https://winnipeg.ca/police/press/2021/03mar/2021_03_12.stm"|"March 12, 2021"|"Fraud Arrest: R19-46992"
